"","pool","prevalence","above.llod","limit","tau","tau_relative_var","mode","mode_prev","pos1","n_eff","prevalence_corr","pos_corr","pos_null","total.tests","total.tests_corr","total.tests_null","tests.per.sample","tests.per.sample_corr","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_corr","tn_corr","tp_corr","fn_corr","fp_corr","ppa_null","tn_null","tp_null","fn_null","fp_null"
"1",3,0.001,0.15,35,0.15,1,"none","none",1.22375976654429,2.93405780415131,0.9968,0.954677784322926,0.93855540561227,3.6420149675233,3.61333068073112,3.57004228959027,1.21400498917443,1.20444356024371,1.19001409653009,0.0586463334274687,0.880671655841099,0.0606820107314318,0,0.9355375,0.913678628068526,0.04661964550064,0.871110226910373,0.0822701275889876,0,0.913678628068526,0.0623828369415397,0.856680763196757,0.080936399861703,0
"2",3,0.001,0.15,35,0.3,1,"none","none",1.51607673032785,2.79534963427689,0.9964,0.963784985827213,0.93855540561227,3.69893116590512,3.61497835129593,3.54811780725852,1.23297705530171,1.20499278376531,1.18270593575284,0.0524520435450928,0.899643721968373,0.0479042344865343,0,0.949444,0.905884230669259,0.0378422289808554,0.871659450431976,0.0904983205871684,0,0.905884230669259,0.0623828369415397,0.849372602419507,0.0882445606389538,0
"3",3,0.001,0.15,35,0.45,1,"none","none",1.80534301517288,2.4753338863122,0.9962,0.971767112420874,0.93855540561227,3.75705381522489,3.63999750840613,3.56104229296851,1.25235127174163,1.21333250280204,1.18701409765617,0.0498194656984827,0.919017938408298,0.0311625958932197,0,0.9672035,0.910479029136126,0.0337275963430676,0.879999169468711,0.0862732341882212,0,0.910479029136126,0.0623828369415397,0.853680764322836,0.0839363987356242,0
"4",3,0.01,0.15,35,0.15,1,"none","none",1.29181512690184,2.92333438491127,0.9694,1.00836245704235,1.00351028566934,3.78823538638197,3.73046403742544,3.72532980181562,1.26274512879399,1.24348801247515,1.24177660060521,0.00629605622935466,0.929411795460656,0.0642921483099889,0,0.9353005,0.914378835729437,0.00489250508826814,0.910154679141815,0.084952815769917,0,0.914378835729437,0.00649136684449783,0.908443267271872,0.08506536588363,0
"5",3,0.01,0.15,35,0.3,1,"none","none",1.59469973890814,2.74772774778067,0.97047036900055,1.01185986813172,1.00351028566934,3.8432982298223,3.73506648203842,3.72707047068693,1.28109940994077,1.24502216067947,1.24235682356231,0.00652993772892844,0.947766076607434,0.0457039856636374,0,0.953995608524772,0.914962849735699,0.00406454287483003,0.911688827346141,0.0842466297790286,0,0.914962849735699,0.00649136684449783,0.909023490228978,0.0844851429265246,0
"6",3,0.01,0.15,35,0.45,1,"none","none",1.90355216450885,2.51430284979239,0.97209059798404,1.0157933415808,1.00351028566934,3.89035079248961,3.74648277797596,3.73591033258278,1.29678359749654,1.24882759265865,1.24530344419426,0.00691785382410797,0.963450264163205,0.0296318820126873,0,0.970161700996446,0.917928722938622,0.00336795725098398,0.91549425932532,0.0811377834236961,0,0.917928722938622,0.00649136684449783,0.911970110860926,0.0815385222945766,0
"7",3,0.05,0.15,35,0.15,1,"none","none",1.32673836203068,2.92039591243493,0.864613859095075,1.06537036553265,1.05044609819675,3.79997913480267,3.74608558511651,3.74192062514148,1.26665971160089,1.24869519503884,1.24730687504716,0.00127562677941896,0.933326378267556,0.0653979949530255,0,0.934518475060204,0.915072392638037,0.000917496195726533,0.915361861705502,0.0837206420987711,0,0.915072392638037,0.00120083496458859,0.913973541713827,0.0848256233215841,0
"8",3,0.05,0.15,35,0.3,1,"none","none",1.63686977574269,2.74574968630941,0.857839275507657,1.08119922772173,1.05044609819675,3.86032018277435,3.75553599801083,3.74749271646937,1.28677339425812,1.25184533267028,1.24916423882312,0.0012054035825034,0.953440060924783,0.045354535492714,0,0.954590728008148,0.91693198948291,0.00072673776569732,0.918511999336945,0.080761262897358,0,0.91693198948291,0.00120083496458859,0.915830905489789,0.0829682595456225,0
"9",3,0.05,0.15,35,0.45,1,"none","none",1.93912504024459,2.54792796186054,0.864592843855267,1.09669149926158,1.05044609819675,3.91002464088752,3.77425514093726,3.76330087980113,1.30334154696251,1.25808504697909,1.25443362660038,0.00127539809324084,0.970008213629172,0.028716388277587,0,0.971246940124673,0.922207712532866,0.000599132945765041,0.924751713645754,0.0746491534084809,0,0.922207712532866,0.00120083496458859,0.921100293267043,0.0776988717683682,0
"10",3,0.1,0.15,35,0.15,1,"none","none",1.36128001730734,2.96011435684357,0.735865781728037,1.1371771198378,1.10641581023936,3.80187687050455,3.75825579893705,3.75090375731433,1.26729229016818,1.25275193297902,1.25030125243811,0.000556880511148401,0.933958956834851,0.065484162654001,0,0.934479350173033,0.917461254612546,0.000400338209615199,0.919418599645683,0.0801810621447016,0,0.917461254612546,0.00053771808377633,0.916967919104777,0.0824943628114468,0
"11",3,0.1,0.15,35,0.3,1,"none","none",1.68421459161146,2.864242965427,0.737848836749116,1.16945926638597,1.10641581023936,3.87163605919468,3.77895394001118,3.76457905672889,1.29054535306489,1.25965131333706,1.2548596855763,0.000562601906809688,0.957212019731559,0.0422253783616316,0,0.957750852187248,0.922022140221402,0.000309734854302155,0.926317980003727,0.0733722851419705,0,0.922022140221402,0.00053771808377633,0.921526352242963,0.0779359296732606,0
