"","pool","pos","prevalence","prob_sim","prob_test","prob_bin"
"88",5,3,0.1,0.078544018,0.0403326399,0.0081
"89",5,4,0.1,0.016953714,0.0046520336,0.000450000000000001
"90",5,5,0.1,0.000941873,0.0001801844,1e-05
"91",6,0,0.001,0.994014980014994,0.994014980014994,0.994014980014994
"92",6,1,0.001,0.00265675037134416,0.00265716932274311,0.00597005994002999
"93",6,2,0.001,0.00233475629615084,0.00235277120630571,1.4940089940015e-05
"94",6,3,0.001,0.000830720773918833,0.000817134778552869,1.994005998e-08
"95",6,4,0.001,0.000148428495628149,0.000146214038233697,1.4970015e-11
"96",6,5,0.001,1.37655459655138e-05,1.11919873719612e-05,5.99400000000001e-15
"97",6,6,0.001,5.985019985006e-07,5.3865179865054e-07,1e-18
"98",6,0,0.01,0.941480149401,0.941480149401,0.941480149401
"99",6,1,0.01,0.024519817400981,0.025981058070438,0.057059402994
"100",6,2,0.01,0.0230919330463654,0.0230047384689729,0.001440894015
"101",6,3,0.01,0.0091583566187435,0.00798971520228147,1.940598e-05
"102",6,4,0.01,0.0015975919213527,0.00142963995013357,1.47015e-07
"103",6,5,0.01,0.0001462996264975,0.00010943212062013,5.94000000000003e-10
"104",6,6,0.01,5.8519850599e-06,5.26678655391e-06,1e-12
"105",6,0,0.03,0.832972004929,0.832972004929,0.832972004929
"106",6,1,0.03,0.0640719389092357,0.074155418971672,0.154572124626
"107",6,2,0.03,0.0683645583825604,0.0656603751423609,0.011951452935
"108",6,3,0.03,0.0279437835753783,0.0228043321670437,0.00049284342
"109",6,4,0.03,0.00594619662452761,0.00408049391958453,1.1431935e-05
"110",6,5,0.03,0.000684814779791101,0.00031234235078277,1.41426e-07
"111",6,6,0.03,1.67027995071e-05,1.503251955639e-05,7.29000000000001e-10
"112",6,0,0.05,0.735091890625,0.735091890625,0.735091890625
"113",6,1,0.05,0.0912078620578126,0.117611253319219,0.23213428125
"114",6,2,0.05,0.107499710784375,0.104138026876406,0.030543984375
"115",6,3,0.05,0.052080934303125,0.0361679041729688,0.0021434375
"116",6,4,0.05,0.01271558925,0.00647170511203126,8.46093749999998e-05
"117",6,5,0.05,0.001324540546875,0.00049537816453125,1.78125e-06
"118",6,6,0.05,7.94724328125e-05,2.384172984375e-05,1.5625e-08
"119",6,0,0.1,0.531441,0.531441,0.531441
"120",6,1,0.1,0.1237464319,0.20802613923,0.354294
"121",6,2,0.1,0.1905160894,0.18419522849,0.0984150000000001
"122",6,3,0.1,0.1145626755,0.06397236027,0.01458
"123",6,4,0.1,0.0343453747,0.01144689637,0.001215
"124",6,5,0.1,0.0052010049,0.00087620533,5.39999999999999e-05
"125",6,6,0.1,0.0001874236,4.217031e-05,1e-06
"126",7,0,0.001,0.993020965034979,0.993020965034979,0.993020965034979
"127",7,1,0.001,0.00260806536642833,0.00263493465104366,0.00695810486010496
"128",7,2,0.001,0.00280278044195241,0.0027817735467077,2.0895209790105e-05
"129",7,3,0.001,0.00124017451328422,0.0012324975748227,3.48602098600349e-08
"130",7,4,0.001,0.000280557205593842,0.000287885192307114,3.4895104965e-11
