"","pool","prevalence","above.llod","limit","pos_real","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn_real","tp_real","fn_real","fp_real","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"1",1,0.001,0.05,35,0.963948332369385,0.001,1.94862155388471,1.0009841,1.94862155388471,1.0009841,0.036051667630615,0.948621553884712,0.0153267784846732,0,0.9841,0.9841,0.999,0.0009841,1.59e-05,0,0.9841,0.981452397152534,0.986459924464894
"2",1,0.001,0.1,35,0.769289945380414,0.001,1.74205708131395,1.0009646,1.74205708131395,1.0009646,0.230710054619586,0.742057081313947,0.0272328640664667,0,0.9646,0.9646,0.999,0.0009646,3.54e-05,0,0.9646,0.960790283002469,0.96813592900557
"3",1,0.001,0.15,35,0.909173561232839,0.001,1.85698699881807,1.0009426,1.85698699881807,1.0009426,0.0908264387671606,0.856986998818074,0.052186562414765,0,0.9426,0.9426,0.999,0.0009426,5.74e-05,0,0.9426,0.93786057829878,0.947079549003037
"4",1,0.01,0.05,35,0.992464901097055,0.01,1.97718094162016,1.009846,1.97718094162016,1.009846,0.00753509890294457,0.977180941620161,0.0152839594768947,0,0.9846,0.9846,0.99,0.009846,0.000154,0,0.9846,0.981990386372149,0.986921520891363
"5",1,0.01,0.1,35,0.991089207038535,0.01,1.95709484723711,1.009657,1.95709484723711,1.009657,0.00891079296146465,0.957094847237114,0.0339943598014218,0,0.9657,0.9657,0.99,0.009657,0.000343,0,0.9657,0.961944567794738,0.969180921535235
"6",1,0.01,0.15,35,0.977539157962808,0.01,1.92377450427485,1.00945,1.92377450427485,1.00945,0.0224608420371916,0.923774504274854,0.0537646536879545,0,0.945,0.945,0.99,0.00945,0.00055,0,0.945,0.940350441298996,0.949388201774622
"7",1,0.05,0.05,35,0.997865758757761,0.05,1.98120140058651,1.049165,1.98120140058651,1.049165,0.00213424124223862,0.981201400586507,0.0166643581712546,0,0.9833,0.9833,0.95,0.049165,0.000835,0,0.9833,0.980592895052124,0.985720078029494
"8",1,0.05,0.1,35,0.994470369473888,0.05,1.96224952950293,1.04838,1.96224952950293,1.04838,0.00552963052611235,0.962249529502934,0.032220839970954,0,0.9676,0.9676,0.95,0.04838,0.00162,0,0.9676,0.963940668153382,0.970983563160403
"9",1,0.05,0.15,35,0.996167377091296,0.05,1.94297203915462,1.04733,1.94297203915462,1.04733,0.00383262290870388,0.942972039154621,0.0531953379366752,0,0.9466,0.9466,0.95,0.04733,0.00267,0,0.9466,0.942011661776163,0.950925988507497
"10",1,0.1,0.05,35,0.995205069346215,0.1,1.9781870626604,1.09829,1.9781870626604,1.09829,0.00479493065378447,0.978187062660395,0.0170180066858203,0,0.9829,0.9829,0.9,0.09829,0.00171,0,0.9829,0.980163705583096,0.985349588360666
"11",1,0.1,0.1,35,0.999461991736363,0.1,1.96418098342807,1.09647,1.96418098342807,1.09647,0.000538008263636808,0.96418098342807,0.0352810083082936,0,0.9647,0.9647,0.9,0.09647,0.00353,0,0.9647,0.960895178648935,0.968230967820581
"12",1,0.1,0.15,35,0.999460632225978,0.1,1.95118668368946,1.09517,1.95118668368946,1.09517,0.000539367774022164,0.951186683689463,0.0482739485365147,0,0.9517,0.9517,0.9,0.09517,0.00483,0,0.9517,0.947314394392289,0.955820071045133
"13",1,0.15,0.05,35,0.999746290799788,0.15,1.98505002032503,1.147795,1.98505002032503,1.147795,0.000253709200212399,0.985050020325031,0.0146962704747569,0,0.9853,0.9853,0.85,0.147795,0.002205,0,0.9853,0.982744672318699,0.987566644529471
"14",1,0.15,0.1,35,0.996167377091296,0.15,1.96339347038499,1.145065,1.96339347038499,1.145065,0.00383262290870388,0.963393470384992,0.0327739067063036,0,0.9671,0.9671,0.85,0.145065,0.004935,0,0.9671,0.963415081386673,0.970509482256555
"15",1,0.15,0.15,35,0.999194305256577,0.15,1.94843523454954,1.14238,1.94843523454954,1.14238,0.000805694743422902,0.948435234549543,0.0507590707070341,0,0.9492,0.9492,0.85,0.14238,0.00762,0,0.9492,0.944713515643762,0.953422515121961
