"","pool","pos","prevalence","prob_sim_real"
"149",7,5,0.01,0
"150",7,6,0.01,0
"151",7,7,0.01,0
"152",7,0,0.03,0.659563463469222
"153",7,1,0.03,0.264830001641638
"154",7,2,0.03,0.0645503429835293
"155",7,3,0.03,0.00976102879817228
"156",7,4,0.03,0.00123721258110212
"157",7,5,0.03,5.79505263371934e-05
"158",7,6,0.03,0
"159",7,7,0.03,0
"160",7,0,0.05,0.383885913628218
"161",7,1,0.05,0.354078283873054
"162",7,2,0.05,0.190177503524316
"163",7,3,0.05,0.0589676184171591
"164",7,4,0.05,0.0117405254367342
"165",7,5,0.05,0.00111936702933898
"166",7,6,0.05,3.0788091180247e-05
"167",7,7,0.05,0
"168",7,0,0.1,0.181129514036525
"169",7,1,0.1,0.338547489778455
"170",7,2,0.1,0.291512640904261
"171",7,3,0.1,0.141741642728038
"172",7,4,0.1,0.0404504289545187
"173",7,5,0.1,0.00623795262097554
"174",7,6,0.1,0.000380330977227085
"175",7,7,0.1,0
"176",8,0,0.001,0.984403272068938
"177",8,1,0.001,0.0110970112009916
"178",8,2,0.001,0.00369325512021361
"179",8,3,0.001,0.000780101176085473
"180",8,4,0.001,2.62672873619228e-05
"181",8,5,0.001,9.31464090848326e-08
"182",8,6,0.001,0
"183",8,7,0.001,0
"184",8,8,0.001,0
"185",8,0,0.01,0.806341366934356
"186",8,1,0.01,0.150444238996792
"187",8,2,0.01,0.0349195212082759
"188",8,3,0.01,0.00753262823304844
"189",8,4,0.01,0.000732305280118121
"190",8,5,0.01,2.95674300504777e-05
"191",8,6,0.01,3.71917359125506e-07
"192",8,7,0.01,0
"193",8,8,0.01,0
"194",8,0,0.03,0.698350661848598
"195",8,1,0.03,0.197869783569219
"196",8,2,0.03,0.0823667660917411
"197",8,3,0.03,0.019159221897211
"198",8,4,0.03,0.00215067521960725
"199",8,5,0.03,0.000101998606824462
"200",8,6,0.03,8.92766799338832e-07
"201",8,7,0.03,0
"202",8,8,0.03,0
"203",8,0,0.05,0.355284933719996
"204",8,1,0.05,0.344554251099808
"205",8,2,0.05,0.196927926097899
"206",8,3,0.05,0.0776257170741566
"207",8,4,0.05,0.0214041609024187
"208",8,5,0.05,0.00375439084093493
"209",8,6,0.05,0.000418128106164616
"210",8,7,0.05,2.97911894585016e-05
"211",8,8,0.05,7.00969163729449e-07
"212",8,0,0.1,0.0637429841848065
"213",8,1,0.1,0.236306302696579
"214",8,2,0.1,0.331979961366237
"215",8,3,0.1,0.238474653167708
"216",8,4,0.1,0.100104150770487
"217",8,5,0.1,0.0253747910219378
"218",8,6,0.1,0.0037241980926335
"219",8,7,0.1,0.000285083465750333
"220",8,8,0.1,7.87523386050645e-06
"221",9,0,0.001,0.979388135727884
"222",9,1,0.001,0.0156208385908666
"223",9,2,0.001,0.00445675583184028
"224",9,3,0.001,0.000504674539050269
"225",9,4,0.001,2.89092908504009e-05
"226",9,5,0.001,6.64581398859791e-07
"227",9,6,0.001,2.14381096406384e-08
"228",9,7,0.001,0
"229",9,8,0.001,0
"230",9,9,0.001,0
"231",9,0,0.01,0.814270207262794
"232",9,1,0.01,0.147895541312789
"233",9,2,0.01,0.0302309167477515
"234",9,3,0.01,0.00677829767510489
"235",9,4,0.01,0.000780924158805619
"236",9,5,0.01,4.32672291559872e-05
"237",9,6,0.01,8.45613599139814e-07
"238",9,7,0.01,0
"239",9,8,0.01,0
"240",9,9,0.01,0
"241",9,0,0.03,0.530269305253532
"242",9,1,0.03,0.306573202285407
"243",9,2,0.03,0.122205001047059
"244",9,3,0.03,0.0343086786111729
"245",9,4,0.03,0.00596487108572163
"246",9,5,0.03,0.000642248481449848
"247",9,6,0.03,3.59920910273932e-05
"248",9,7,0.03,7.01144630403764e-07
"249",9,8,0.03,0
"250",9,9,0.03,0
"251",9,0,0.05,0.358031506620718
"252",9,1,0.05,0.348052610014711
"253",9,2,0.05,0.200834115678419
"254",9,3,0.05,0.0728155271319037
"255",9,4,0.05,0.0173429374334074
"256",9,5,0.05,0.00266092948988758
"257",9,6,0.05,0.000250245419969677
"258",9,7,0.05,1.21282109839908e-05
"259",9,8,0.05,0
"260",9,9,0.05,0
"261",9,0,0.1,0.0619522359703712
"262",9,1,0.1,0.195489318302725
"263",9,2,0.1,0.290277888265259
"264",9,3,0.1,0.252572350813885
"265",9,4,0.1,0.136909634714944
"266",9,5,0.1,0.0491450429862135
"267",9,6,0.1,0.0115416441915463
"268",9,7,0.1,0.00191289088968525
"269",9,8,0.1,0.000187907856158591
"270",9,9,0.1,1.10860092128962e-05
"271",10,0,0.001,0.987763277593934
"272",10,1,0.001,0.00886422793764335
"273",10,2,0.001,0.00264653120514518
"274",10,3,0.001,0.000613848614142721
"275",10,4,0.001,0.000111569167546793
"276",10,5,0.001,5.45481588396968e-07
"277",10,6,0.001,0
"278",10,7,0.001,0
"279",10,8,0.001,0
"280",10,9,0.001,0
"281",10,10,0.001,0
"282",10,0,0.01,0.804511645564973
"283",10,1,0.01,0.139213729518027
"284",10,2,0.01,0.042443168721113
"285",10,3,0.01,0.0123520955804562
"286",10,4,0.01,0.00140048273702512
"287",10,5,0.01,7.73763959488542e-05
"288",10,6,0.01,1.50148245696354e-06
"289",10,7,0.01,0
"290",10,8,0.01,0
"291",10,9,0.01,0
