"","pool","prevalence","above.llod","limit","tau","tau_relative_var","mode","mode_prev","pos1","n_eff","prevalence_corr","pos_corr","pos_null","total.tests","total.tests_corr","total.tests_null","tests.per.sample","tests.per.sample_corr","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_corr","tn_corr","tp_corr","fn_corr","fp_corr","ppa_null","tn_null","tp_null","fn_null","fp_null"
"1",16,0.001,0.15,35,0.15,1,"none","none",3.21147793057906,7.23212148022208,0.9836,1.07798661395071,0.995186898440734,16.4222611869015,14.4287023556934,14.162068497321,1.02639132418134,0.901793897230836,0.88512928108256,0.0118529444372141,0.963891324181345,0.0242557313814411,0,0.975453318162622,0.832824961354271,0.000189698883950987,0.839293897230837,0.160516403885211,0,0.832824961354271,0.0122422846874467,0.82262928108256,0.165128434229993,0
"2",16,0.001,0.15,35,0.3,1,"none","none",5.43400037568398,2.88362274124679,0.9838,1.66741143406448,0.995186898440734,16.7614519216619,15.4120401812089,14.1020614816618,1.04759074510387,0.963252511325558,0.881378842603865,0.0119999316938224,0.985090745103869,0.00290932320230905,0,0.997055341091933,0.829028039881977,9.58244509995123e-05,0.900752511325558,0.0991516642234421,0,0.829028039881977,0.0122422846874467,0.818878842603866,0.168878872708688,0
"3",16,0.001,0.15,35,0.45,1,"none","none",7.65463679076617,2.65985330020508,0.9842,2.22282451722248,0.995186898440734,16.7967638854939,15.9730724834527,14.2090564828052,1.04979774284337,0.998317030215795,0.888066030175328,0.0123049302237192,0.98729774284337,0.000397326932911121,0,0.999597723077629,0.835798108561568,6.33962508075694e-05,0.935817030215794,0.0641195735333983,0,0.835798108561568,0.0122422846874467,0.825566030175328,0.162191685137225,0
"4",16,0.01,0.15,35,0.15,1,"none","none",3.47295585870697,6.32111860155083,0.849698507615532,1.6473477575051,1.0759013397513,16.6275885104803,15.1313656200331,14.4181024377802,1.03922428190502,0.945710351252069,0.901131402361263,0.00112938183127007,0.97672428190502,0.02214633626371,0,0.97782862378682,0.839592824887218,0.000129971932467912,0.883210351252068,0.116659676815464,0,0.839592824887218,0.00114510569582829,0.838631402361263,0.160223491942909,0
"5",16,0.01,0.15,35,0.3,1,"none","none",5.81229258081603,3.36394829850487,0.849400324305844,2.90130055275663,1.0759013397513,16.9389964523646,15.984849575934,14.5003841827075,1.05868727827279,0.999053098495874,0.90627401141922,0.00112675310347599,0.996187278272787,0.00268596862373672,0,0.997311001538902,0.844741329527163,6.31278289140408e-05,0.936553098495874,0.063383773675212,0,0.844741329527163,0.00114510569582829,0.84377401141922,0.155080882884952,0
"6",16,0.01,0.15,35,0.45,1,"none","none",8.01990058446214,2.49997050151848,0.848800000238838,3.77845943795341,1.0759013397513,16.9781028107509,16.2681692822876,14.3826971921958,1.06113142567193,1.01676058014297,0.898918574512239,0.00112149216802331,0.998631425671932,0.000247082160045069,0,0.999752640428132,0.837377460211485,4.32720308106413e-05,0.954260580142973,0.0456961478262166,0,0.837377460211485,0.00114510569582829,0.836418574512239,0.162436319791933,0
"7",16,0.05,0.15,35,0.15,1,"none","none",4.38069465115254,5.96549596004269,0.442869924902302,3.46768760152874,1.42867001526744,16.7374472628771,16.3929179003804,15.0569412339767,1.04609045392982,1.02455736877378,0.941058827123541,0.000158957323352827,0.983590453929822,0.0162505887468252,0,0.983746827692409,0.878696957356986,3.54407267226552e-05,0.962057368773779,0.0379071904994981,0,0.878696957356986,0.000157198943605582,0.87855882712354,0.121283973932854,0
"8",16,0.05,0.15,35,0.3,1,"none","none",6.95127305237335,3.73145784390454,0.427202195273127,5.44673276161932,1.42867001526744,16.9666698072085,16.6784402228944,15.1337120921418,1.06041686295053,1.0424025139309,0.945857005758862,0.000149141102965717,0.997916862950529,0.00193399594650564,0,0.998065715572181,0.883495890379509,1.93662374602729e-05,0.9799025139309,0.0200781198316397,0,0.883495890379509,0.000157198943605582,0.883357005758862,0.116485795297532,0
"9",16,0.05,0.15,35,0.45,1,"none","none",9.29572913076603,2.76436550962675,0.444800001769764,6.79906074119097,1.42867001526744,16.9924058284094,16.7752768576132,15.0952473444045,1.06202536427559,1.04845480360082,0.943452959025283,0.000160204878983045,0.999525364275585,0.000314430845431945,0,0.999685518773141,0.881091465672906,1.31415633283848e-05,0.985954803600824,0.0140320548358481,0,0.881091465672906,0.000157198943605582,0.880952959025282,0.118889842031112,0
"10",16,0.1,0.15,35,0.15,1,"none","none",5.54538335583759,5.55808186829577,0.183932907825505,5.48875982544288,1.96382862951094,16.8357321147293,16.7840290933655,15.7343576165666,1.05223325717058,1.04900181833535,0.983397351035415,4.50758567906486e-05,0.989733257170582,0.0102216669726273,0,0.989777872256206,0.920939242421497,1.02358205682645e-05,0.986501818335344,0.0134879458440873,0,0.920939242421497,4.54876762241128e-05,0.920897351035415,0.0790571612883607,0
