pool,pos,above.llod,limit,total.tests,tests.per.sample,tn,tp,fn,fp
5,0,0.05,35,1,0.2,1,0,0,0
5,0,0.1,35,1,0.2,1,0,0,0
5,0,0.15000000000000002,35,1,0.2,1,0,0,0
5,0,0.2,35,1,0.2,1,0,0,0
5,0,0.25,35,1,0.2,1,0,0,0
5,0,0.3,35,1,0.2,1,0,0,0
5,1,0.05,35,5.812,1.1624,0,0.9624,0.0376,0
5,1,0.1,35,5.6325,1.1265,0,0.9265,0.0735,0
5,1,0.15000000000000002,35,5.4825,1.0965,0,0.8965,0.1035,0
5,1,0.2,35,5.2235,1.0447,0,0.8447,0.1553,0
5,1,0.25,35,5.002,1.0004,0,0.8004,0.1996,0
5,1,0.3,35,4.88,0.976,0,0.776,0.224,0
5,2,0.05,35,5.9905,1.1981,0,0.9981,0.0019,0
5,2,0.1,35,5.962,1.1924,0,0.9924,0.0076,0
5,2,0.15000000000000002,35,5.929,1.1858,0,0.9858,0.0142,0
5,2,0.2,35,5.875,1.175,0,0.975,0.025,0
5,2,0.25,35,5.796,1.1592,0,0.9592,0.0408,0
5,2,0.3,35,5.705,1.141,0,0.941,0.059,0
5,3,0.05,35,5.9995,1.1999,0,0.9999,1e-4,0
5,3,0.1,35,5.997,1.1994,0,0.9994,6.000000000000001e-4,0
5,3,0.15000000000000002,35,5.988,1.1976,0,0.9976,0.0024,0
5,3,0.2,35,5.976,1.1952,0,0.9952,0.0048,0
5,3,0.25,35,5.9485,1.1897,0,0.9897,0.0103,0
5,3,0.3,35,5.92,1.184,0,0.984,0.016,0
5,4,0.05,35,6,1.2,0,1,0,0
5,4,0.1,35,6,1.2,0,1,0,0
5,4,0.15000000000000002,35,5.9975,1.1995,0,0.9995,5e-4,0
5,4,0.2,35,5.9945,1.1989,0,0.9989,0.0011,0
5,4,0.25,35,5.991,1.1982,0,0.9982,0.0018,0
5,4,0.3,35,5.9775,1.1955,0,0.9955,0.0045,0
5,5,0.05,35,6,1.2,0,1,0,0
5,5,0.1,35,5.999,1.1998,0,0.9998,2e-4,0
5,5,0.15000000000000002,35,5.9995,1.1999,0,0.9999,1e-4,0
5,5,0.2,35,5.996,1.1992,0,0.9992,8e-4,0
5,5,0.25,35,5.997,1.1994,0,0.9994,6.000000000000001e-4,0
5,5,0.3,35,5.9945,1.1989,0,0.9989,0.0011,0
6,0,0.05,35,1,0.16666666666666666,1,0,0,0
6,0,0.1,35,1,0.16666666666666666,1,0,0,0
6,0,0.15000000000000002,35,1,0.16666666666666666,1,0,0,0
6,0,0.2,35,1,0.16666666666666666,1,0,0,0
6,0,0.25,35,1,0.16666666666666666,1,0,0,0
6,0,0.3,35,1,0.16666666666666666,1,0,0,0
6,1,0.05,35,6.7432,1.1238666666666666,0,0.9572,0.0428,0
6,1,0.1,35,6.5164,1.0860666666666667,0,0.9194,0.0806,0
6,1,0.15000000000000002,35,6.292,1.0486666666666666,0,0.882,0.118,0
6,1,0.2,35,6.049,1.0081666666666667,0,0.8415,0.1585,0
6,1,0.25,35,5.8024,0.9670666666666666,0,0.8004,0.1996,0
6,1,0.3,35,5.536,0.9226666666666666,0,0.756,0.244,0
6,2,0.05,35,6.9838,1.1639666666666666,0,0.9973,0.0027,0
6,2,0.1,35,6.943,1.1571666666666667,0,0.9905,0.0095,0
6,2,0.15000000000000002,35,6.9004,1.1500666666666668,0,0.9834,0.0166,0
6,2,0.2,35,6.8164,1.1360666666666666,0,0.9694,0.0306,0
6,2,0.25,35,6.7084,1.1180666666666668,0,0.9514,0.0486,0
6,2,0.3,35,6.6364,1.1060666666666668,0,0.9394,0.0606,0
6,3,0.05,35,6.9982,1.1663666666666666,0,0.9997,3.0000000000000003e-4,0
6,3,0.1,35,6.994,1.1656666666666666,0,0.999,0.001,0
6,3,0.15000000000000002,35,6.9826,1.1637666666666666,0,0.9971,0.0029,0
6,3,0.2,35,6.9682,1.1613666666666667,0,0.9947,0.0053,0
6,3,0.25,35,6.9262,1.1543666666666665,0,0.9877,0.0123,0
6,3,0.3,35,6.886,1.1476666666666666,0,0.981,0.019,0
6,4,0.05,35,7,1.1666666666666667,0,1,0,0
6,4,0.1,35,6.9994,1.1665666666666665,0,0.9999,1e-4,0
6,4,0.15000000000000002,35,6.9988,1.1664666666666668,0,0.9998,2e-4,0
6,4,0.2,35,6.9928,1.1654666666666667,0,0.9988,0.0012000000000000001,0
6,4,0.25,35,6.982,1.1636666666666666,0,0.997,0.003,0
6,4,0.3,35,6.9694,1.1615666666666666,0,0.9949,0.0051,0
6,5,0.05,35,7,1.1666666666666667,0,1,0,0
6,5,0.1,35,6.9988,1.1664666666666668,0,0.9998,2e-4,0
6,5,0.15000000000000002,35,6.9988,1.1664666666666668,0,0.9998,2e-4,0
6,5,0.2,35,6.9964,1.1660666666666668,0,0.9994,6.000000000000001e-4,0
6,5,0.25,35,6.991,1.1651666666666667,0,0.9985,0.0015,0
6,5,0.3,35,6.9886,1.1647666666666667,0,0.9981,0.0019,0
6,6,0.05,35,6.9994,1.1665666666666665,0,0.9999,1e-4,0
6,6,0.1,35,7,1.1666666666666667,0,1,0,0
6,6,0.15000000000000002,35,7,1.1666666666666667,0,1,0,0
6,6,0.2,35,6.9994,1.1665666666666665,0,0.9999,1e-4,0
6,6,0.25,35,6.997,1.1661666666666666,0,0.9995,5e-4,0
6,6,0.3,35,6.9946,1.1657666666666666,0,0.9991,9e-4,0
7,0,0.05,35,1,0.14285714285714285,1,0,0,0
7,0,0.1,35,1,0.14285714285714285,1,0,0,0
7,0,0.15000000000000002,35,1,0.14285714285714285,1,0,0,0
7,0,0.2,35,1,0.14285714285714285,1,0,0,0
7,0,0.25,35,1,0.14285714285714285,1,0,0,0
7,0,0.3,35,1,0.14285714285714285,1,0,0,0
7,1,0.05,35,7.7018,1.1002571428571428,0,0.9574,0.0426,0
7,1,0.1,35,7.3952,1.0564571428571428,0,0.9136,0.0864,0
7,1,0.15000000000000002,35,7.1285,1.0183571428571427,0,0.8755,0.1245,0
7,1,0.2,35,6.8121,0.9731571428571428,0,0.8303,0.1697,0
7,1,0.25,35,6.4992,0.9284571428571429,0,0.7856,0.2144,0
7,1,0.3,35,6.2605,0.894357142857143,0,0.7515,0.2485,0
7,2,0.05,35,7.986,1.1408571428571428,0,0.998,0.002,0
7,2,0.1,35,7.9293,1.1327571428571428,0,0.9899,0.0101,0
7,2,0.15000000000000002,35,7.888,1.1268571428571428,0,0.984,0.016,0
7,2,0.2,35,7.7634,1.1090571428571427,0,0.9662,0.0338,0
7,2,0.25,35,7.6549,1.093557142857143,0,0.9507,0.0493,0
7,2,0.3,35,7.5387,1.076957142857143,0,0.9341,0.0659,0
7,3,0.05,35,7.9979,1.1425571428571428,0,0.9997,3.0000000000000003e-4,0
7,3,0.1,35,7.9825,1.1403571428571428,0,0.9975,0.0025,0
