"","pool","prevalence","above.llod","limit","tau","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"24",1,0.1,0.15,35,0.4,0.1,0.1,1.09403,1.09403,1.09403,1.09403,0.9,0.09403,0.00597,0,0.9403,0.9403,0.9,0.09403,0.00597,0,0.9403,0.93547656216532,0.944864982429886
"25",1,0.1,0.15,35,0.5,0.1,0.1,1.09473,1.09473,1.09473,1.09473,0.9,0.09473,0.00527,0,0.9473,0.9473,0.9,0.09473,0.00527,0,0.9473,0.942738789321946,0.951598425724203
"26",2,0.001,0.15,35,0.1,0.00219868915436659,0.00219980000000009,1.00372310903584,1.00406535663706,0.501861554517919,0.502032678318531,0.998001,0.00186155451791974,0.000137445482080255,0,0.931242880400073,0.924537142051271,0.99780140978001,0.00203267831853151,0.000165911901458577,0,0.931242880400073,0.926106597369438,0.93612624886207
"27",2,0.001,0.15,35,0.2,0.0023886864230419,0.00239959999999994,1.00374589938565,1.00442816648252,0.501872949692825,0.502214083241262,0.998001,0.00187294969282446,0.000126050307175546,0,0.936943318071263,0.92324231833677,0.99760183952004,0.00221408324126184,0.000184077238698104,0,0.936943318071263,0.9320007287074,0.941629512474206
"28",2,0.001,0.15,35,0.3,0.00258258768631061,0.00259940000000003,1.00376797499362,1.00479041550681,0.50188398749681,0.502395207753406,0.998001,0.00188398749681037,0.000115012503189626,0,0.942464980895635,0.922045584107832,0.99740228922009,0.00239520775340536,0.000202503026504673,0,0.942464980895635,0.937720571435099,0.946949600991418
"29",2,0.001,0.15,35,0.4,0.00280395586608753,0.00279919999999989,1.00380938954483,1.00517628372651,0.501904694772414,0.502588141863255,0.998001,0.0019046947724136,9.43052275863954e-05,0,0.952823798105855,0.925248039898321,0.99720275888016,0.00258814186325484,0.000209099256585048,0,0.952823798105855,0.948484536162595,0.95689681897617
"30",2,0.001,0.15,35,0.5,0.00299929519478377,0.00299899999999998,1.00383418378493,1.00555626508857,0.501917091892466,0.502778132544284,0.998001,0.00191709189246616,8.19081075338385e-05,0,0.959025458962562,0.927048020002997,0.99700324850025,0.00277813254428423,0.000218618955465748,0,0.959025458962562,0.954954242108255,0.962826497755289
"31",2,0.01,0.15,35,0.1,0.0220449999817209,0.0219800000000001,1.0370161099974,1.04034303964572,0.518508054998702,0.52017151982286,0.9801,0.0185080549987022,0.00139194500129782,0,0.93005301501016,0.922792300692304,0.9781407801,0.0201715198228601,0.00168770007714001,0,0.93005301501016,0.924877579029888,0.934976260280828
"32",2,0.01,0.15,35,0.2,0.0240057437547817,0.02396,1.03732397885315,1.0440227890752,0.518661989426574,0.522011394537599,0.9801,0.0186619894265742,0.0012380105734258,0,0.937788413395689,0.924208569330288,0.9761835204,0.0220113945376,0.0018050850624,0,0.937788413395688,0.932875449208989,0.942444464709938
"33",2,0.01,0.15,35,0.3,0.025961089024003,0.0259400000000001,1.03757150794824,1.04755755860492,0.518785753974119,0.52377877930246,0.9801,0.0187857539741186,0.00111424602588139,0,0.944007737392895,0.922667356808906,0.9742282209,0.02377877930246,0.00199299979754,0,0.944007737392895,0.939320745436164,0.948433986760343
"34",2,0.01,0.15,35,0.4,0.0279843675877667,0.0279199999999999,1.03785862957691,1.05118039970624,0.518929314788455,0.52559019985312,0.9801,0.0189293147884551,0.000970685211544893,0,0.951221848666086,0.922996954744114,0.9722748816,0.0255901998531199,0.00213491854687999,0,0.951221848666086,0.946816716003752,0.955361746813141
"35",2,0.01,0.15,35,0.5,0.029954097568741,0.0299,1.03815734086941,1.054773496349,0.519078670434706,0.5273867481745,0.9801,0.0190786704347062,0.00082132956529377,0,0.958727157522926,0.922843006473389,0.9703235025,0.0273867481745,0.0022897493255,0,0.958727157522926,0.954642533725928,0.9625417943108
"36",2,0.03,0.15,35,0.1,0.066026813844965,0.06582,1.10994313829152,1.11950323654828,0.554971569145761,0.55975161827414,0.9409,0.0549715691457615,0.00412843085423849,0,0.930144994006117,0.922991197149088,0.9352630681,0.05975161827414,0.00498531362586,0,0.930144994006117,0.924972569616711,0.93506517175973
"37",2,0.03,0.15,35,0.2,0.0713537013488569,0.0716400000000002,1.11069995226668,1.1299438944856,0.555349976133341,0.5649719472428,0.9409,0.0553499761333409,0.0037500238666591,0,0.936547819515074,0.923461973953507,0.9296430724,0.0649719472428001,0.00538498035720001,0,0.936547819515074,0.931591449604076,0.941248036660153
"38",2,0.03,0.15,35,0.3,0.0780859350364203,0.07746,1.11167346246612,1.14031150202098,0.55583673123306,0.57015575101049,0.9409,0.0558367312330604,0.00326326876693966,0,0.944783946413881,0.923588242822253,0.9240400129,0.07015575101049,0.00580423608951,0,0.944783946413881,0.94012620281613,0.949180466935962
"39",2,0.03,0.15,35,0.4,0.0837129364568006,0.08328,1.11228425529394,1.1501085223552,0.556142127646969,0.5750542611776,0.9409,0.0561421276469687,0.00295787235303131,0,0.949951398425866,0.920390449151331,0.9184538896,0.0750542611776,0.0064918492224,0,0.949951398425866,0.945494921374379,0.954143436649563
"40",2,0.03,0.15,35,0.5,0.0888259469014324,0.0891000000000002,1.11319497624054,1.1610550728325,0.556597488120269,0.58052753641625,0.9409,0.0565974881202693,0.00250251187973074,0,0.95765631337173,0.924378825845713,0.9128847025,0.0805275364162502,0.00658776108375001,0,0.95765631337173,0.953524012245499,0.961519311797983
"41",2,0.05,0.15,35,0.1,0.109671068741489,0.1095,1.18123550232627,1.196482534975,0.590617751163136,0.5982412674875,0.9025,0.0906177511631355,0.0068822488368645,0,0.929412832442415,0.922432103842694,0.8934975625,0.0982412674875001,0.00826117001250001,0,0.929412832442415,0.924216504338802,0.934357358953673
"42",2,0.05,0.15,35,0.2,0.11859926192621,0.119,1.18292099593159,1.21359168985,0.591460497965797,0.606795844925,0.9025,0.0914604979657977,0.00603950203420221,0,0.938056389392798,0.924961685132698,0.88454025,0.106795844925,0.008663905075,0,0.938056389392798,0.933152870751401,0.942702830820263
"43",2,0.05,0.15,35,0.3,0.129029134663518,0.1285,1.18461193317957,1.230620498425,0.592305966589787,0.6153102492125,0.9025,0.0923059665897874,0.00519403341021256,0,0.946727862459358,0.92714041069353,0.8756280625,0.1153102492125,0.0090616882875,0,0.946727862459358,0.942144463521266,0.951048832221949
"44",2,0.05,0.15,35,0.4,0.138189196030921,0.138,1.18524788206766,1.2458196484,0.592623941033829,0.6229098242,0.9025,0.0926239410338295,0.00487605896617059,0,0.949989138808507,0.922476333505955,0.866761,0.1229098242,0.0103291758,0,0.949989138808507,0.945534175903834,0.954179639279784
"45",2,0.05,0.15,35,0.5,0.148028955397517,0.1475,1.18699258271105,1.2628409253125,0.593496291355525,0.63142046265625,0.9025,0.093496291355525,0.00400370864447504,0,0.958936321595128,0.92509922128488,0.8579390625,0.13142046265625,0.01064047484375,0,0.958936321595128,0.95486109270624,0.962741429532027
"46",2,0.1,0.15,35,0.1,0.219433914494373,0.218,1.35516101237123,1.3825649518,0.677580506185617,0.6912824759,0.81,0.177580506185617,0.0124194938143826,0,0.934634243082197,0.928019619249075,0.793881,0.1912824759,0.0148365241,0,0.934634243082197,0.929611935163338,0.939401568479167
"47",2,0.1,0.15,35,0.2,0.236633813459402,0.236,1.35739275359624,1.4120709624,0.678696376798121,0.7060354812,0.81,0.17869637679812,0.0113036232018797,0,0.940507246305896,0.927770138150903,0.777924,0.2060354812,0.0160405188,0,0.940507246305896,0.935691297590716,0.945064612099645
"48",2,0.1,0.15,35,0.3,0.255649168909733,0.254,1.36043446929878,1.4424476038,0.680217234649388,0.7212238019,0.81,0.180217234649388,0.00978276535061177,0,0.94851176131257,0.930015856914042,0.762129,0.2212238019,0.0166471981,0,0.94851176131257,0.943998020797073,0.952761962084988
"49",2,0.1,0.15,35,0.4,0.27210745387944,0.272,1.36130431634019,1.4689153792,0.680652158170096,0.7344576896,0.81,0.180652158170095,0.00934784182990444,0,0.950800832474187,0.924867811158798,0.746496,0.2344576896,0.0190463104,0,0.950800832474187,0.946378598695204,0.954958095665933
"50",2,0.1,0.15,35,0.5,0.287957501855848,0.29,1.36376820377058,1.49781806,0.681884101885291,0.74890903,0.81,0.181884101885291,0.00811589811470871,0,0.957284746764691,0.925398382749326,0.731025,0.24890903,0.02006597,0,0.957284746764691,0.953136063949626,0.961164363783458
"51",3,0.001,0.15,35,0.1,0.00362452200044086,0.00359937002999977,1.0082730892971,1.00973689908179,0.336091029765702,0.336578966360596,0.997002999,0.00275769643236828,0.000239304567631725,0,0.920151989394823,0.902805267268186,0.996404946731112,0.00324563302726224,0.000349420241626249,0,0.920151989394823,0.914666086242921,0.925391696369448
"52",3,0.001,0.15,35,0.2,0.00424802004396068,0.00419868011999991,1.00845921444774,1.01146910673938,0.336153071482579,0.337156368913128,0.997002999,0.00281973814924523,0.000177262850754767,0,0.940853256053379,0.911808243065746,0.995807193443503,0.00382303557979413,0.000369770976702931,0,0.940853256053379,0.936049846258236,0.945397869948166
"53",3,0.001,0.15,35,0.3,0.00482659431123463,0.00479793026999976,1.00857194901164,1.01312515596222,0.336190649670548,0.337708385320739,0.997002999,0.00285731633721505,0.000139684662784946,0,0.953391853127528,0.913322260200336,0.995209739017588,0.00437505198740565,0.000415208995005957,0,0.953391853127528,0.949076261947892,0.957440845382964
"54",3,0.001,0.15,35,0.4,0.00532964028357431,0.00539712047999963,1.0086344837765,1.01467769722413,0.336211494592167,0.338225899074709,0.997002999,0.00287816125883311,0.000118839741166887,0,0.960347113275275,0.908146899438124,0.994612583333817,0.00489256574137544,0.000494850924807642,0,0.960347113275275,0.956335976759628,0.964087222890858
"55",3,0.001,0.15,35,0.5,0.00603666018171075,0.00599625074999955,1.00873620710906,1.01626290091566,0.336245402369687,0.33875430030522,0.997002999,0.00291206903635379,8.49319636462122e-05,0,0.971661015913504,0.905868818655817,0.994015726272674,0.00542096697188611,0.000563306755440182,0,0.971661015913504,0.968218113526923,0.974825411039182
"56",3,0.01,0.15,35,0.1,0.0359748297166748,0.03593703,1.08253038227972,1.0971014455138,0.360843460759908,0.365700481837932,0.970299,0.0275101274265745,0.00219087257342548,0,0.926235730331454,0.911538596975137,0.964491741093568,0.0323671485045983,0.00314111040183301,0,0.926235730331454,0.920937455345181,0.93128413151521
"57",3,0.01,0.15,35,0.2,0.0418010255555673,0.0418681200000002,1.08328129862834,1.11189934885611,0.361093766209445,0.370633116285371,0.970299,0.0277604328761116,0.00194056712388838,0,0.934663239490644,0.903437208245069,0.958713474924845,0.0372997829520378,0.00398674212311691,0,0.934663239490644,0.929641921756351,0.939429556989448
