"","pool","prevalence","above.llod","limit","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"25",1,0.15,0.05,35,0.15,0.15,1.147705,1.147705,1.147705,1.147705,0.85,0.147705,0.002295,0,0.9847,0.9847,0.85,0.147705,0.002295,0,0.9847,0.982098061352666,0.987013762326742
"26",1,0.15,0.1,35,0.15,0.15,1.144465,1.144465,1.144465,1.144465,0.85,0.144465,0.005535,0,0.9631,0.9631,0.85,0.144465,0.005535,0,0.9631,0.959217759717483,0.966709431764581
"27",1,0.15,0.15,35,0.15,0.15,1.14268,1.14268,1.14268,1.14268,0.85,0.14268,0.00732,0,0.9512,0.9512,0.85,0.14268,0.00732,0,0.9512,0.946793977750655,0.955340801436709
"28",1,0.15,0.2,35,0.15,0.15,1.13851,1.13851,1.13851,1.13851,0.85,0.13851,0.01149,0,0.9234,0.9234,0.85,0.13851,0.01149,0,0.9234,0.918013073316372,0.928538769198524
"29",1,0.15,0.25,35,0.15,0.15,1.133575,1.133575,1.133575,1.133575,0.85,0.133575,0.016425,0,0.8905,0.8905,0.85,0.133575,0.016425,0,0.8905,0.88421561647898,0.896555931264017
"30",1,0.15,0.3,35,0.15,0.15,1.128295,1.128295,1.128295,1.128295,0.85,0.128295,0.021705,0,0.8553,0.8553,0.85,0.128295,0.021705,0,0.8553,0.84825147085349,0.862140918106165
"31",2,0.001,0.05,35,0.00302448699999996,0.002,1.003948994515,1.0039028926,0.5019744972575,0.5019514463,0.998001,0.00197449725749997,2.45027424999997e-05,0,0.9877425,0.976211255627814,0.998001,0.0019514463,4.75537e-05,0,0.9877425,0.9853879921722,0.989806147875829
"32",2,0.001,0.1,35,0.00300049899999996,0.002,1.0038952246134,1.0038085814,0.5019476123067,0.5019042907,0.998001,0.00194761230669997,5.13876932999993e-05,0,0.9742933,0.952621660830415,0.998001,0.0019042907,9.47093e-05,0,0.9742933,0.970999902264631,0.977306369497358
"33",2,0.001,0.15,35,0.00306446699999996,0.002,1.0038544933892,1.0037186674,0.5019272466946,0.5018593337,0.998001,0.00192724669459997,7.1753305399999e-05,0,0.9641054,0.930131915957979,0.998001,0.0018593337,0.0001396663,0,0.9641054,0.960271582319823,0.967665753389956
"34",2,0.001,0.2,35,0.00302048899999996,0.002,1.0037626273452,1.003572,0.5018813136726,0.501786,0.998001,0.00188131367259997,0.000117686327399998,0,0.9411274,0.893446723361681,0.998001,0.001786,0.000213,0,0.9411274,0.936333956451271,0.945661878830808
