"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"1",2,0.001,0.05,35,2,2.9874,1.4937,0,0.9937,0.0063,0,0.9937,0.9937,0.991946664827131,0.995155610862216
"2",2,0.001,0.1,35,2,2.9618,1.4809,0,0.9809,0.0191,0,0.9809,0.9809,0.97802288886151,0.983491967540771
"3",2,0.001,0.15,35,2,2.9374,1.4687,0,0.9687,0.0313,0,0.9687,0.9687,0.965097740007307,0.9720257567314
"4",2,0.001,0.2,35,2,2.887,1.4435,0,0.9435,0.0565,0,0.9435,0.9435,0.938794007411168,0.947945563970555
"5",2,0.001,0.25,35,2,2.847,1.4235,0,0.9235,0.0765,0,0.9235,0.9235,0.918116163345027,0.928635618710294
"6",2,0.001,0.3,35,2,2.8164,1.4082,0,0.9082,0.0918,0,0.9082,0.9082,0.902371191679638,0.913789794487164
"7",2,0.01,0.05,35,2,2.9864,1.4932,0,0.9932,0.0068,0,0.9932,0.9932,0.991387235243072,0.994715777649258
"8",2,0.01,0.1,35,2,2.9602,1.4801,0,0.9801,0.0199,0,0.9801,0.9801,0.977168759520986,0.982746704963293
"9",2,0.01,0.15,35,2,2.937,1.4685,0,0.9685,0.0315,0,0.9685,0.9685,0.964887281737688,0.971836348925885
"10",2,0.01,0.2,35,2,2.8872,1.4436,0,0.9436,0.0564,0,0.9436,0.9436,0.93889774148808,0.948041768076455
"11",2,0.01,0.25,35,2,2.8538,1.4269,0,0.9269,0.0731,0,0.9269,0.9269,0.921622805875833,0.93192691769983
"12",2,0.01,0.3,35,2,2.8176,1.4088,0,0.9088,0.0912,0,0.9088,0.9088,0.902987667309795,0.914372959429758
"13",2,0.03,0.05,35,2,2.988,1.494,0,0.994,0.006,0,0.994,0.994,0.992283470710862,0.99541833683826
"14",2,0.03,0.1,35,2,2.9578,1.4789,0,0.9789,0.0211,0,0.9789,0.9789,0.975889691702018,0.981626669671222
"15",2,0.03,0.15,35,2,2.9334,1.4667,0,0.9667,0.0333,0,0.9667,0.9667,0.962994767031676,0.970130061804447
"16",2,0.03,0.2,35,2,2.8954,1.4477,0,0.9477,0.0523,0,0.9477,0.9477,0.943154386935982,0.951982579148948
"17",2,0.03,0.25,35,2,2.852,1.426,0,0.926,0.074,0,0.926,0.926,0.920694273151628,0.931055995870895
"18",2,0.03,0.3,35,2,2.8118,1.4059,0,0.9059,0.0941,0,0.9059,0.9059,0.900008707437179,0.911553655564403
"19",2,0.05,0.05,35,2,2.9886,1.4943,0,0.9943,0.0057,0,0.9943,0.9943,0.99262121580993,0.99568010121894
"20",2,0.05,0.1,35,2,2.9608,1.4804,0,0.9804,0.0196,0,0.9804,0.9804,0.977488920215679,0.983026317249877
"21",2,0.05,0.15,35,2,2.9308,1.4654,0,0.9654,0.0346,0,0.9654,0.9654,0.961629667534108,0.968896019279013
